pool,id,num_layers,pooling_edges,dataset,reward,seed,pooling_nodes,conv,K
LookHops,YEjtw,3,0.1,FRANKENSTEIN,0.6574712643678161,11,0.881023822,LiCheb,4
LookHops,l8BMV,3,0.1,FRANKENSTEIN,0.6689655172413793,22,0.881023822,LiCheb,4
LookHops,AueGx,3,0.1,FRANKENSTEIN,0.6367816091954023,33,0.881023822,LiCheb,4
LookHops,pORdE,3,0.1,FRANKENSTEIN,0.6275862068965518,44,0.881023822,LiCheb,4
LookHops,yABmg,3,0.1,FRANKENSTEIN,0.6597701149425287,55,0.881023822,LiCheb,4
LookHops,BtMBW,3,0.1,FRANKENSTEIN,0.664367816091954,66,0.881023822,LiCheb,4
LookHops,YWECY,3,0.1,FRANKENSTEIN,0.6160919540229886,77,0.881023822,LiCheb,4
LookHops,ASFPa,3,0.1,FRANKENSTEIN,0.6758620689655173,88,0.881023822,LiCheb,4
LookHops,Yofyr,3,0.1,FRANKENSTEIN,0.6574712643678161,99,0.881023822,LiCheb,4
LookHops,FdqYQ,3,0.1,FRANKENSTEIN,0.6505747126436782,110,0.881023822,LiCheb,4
LookHops,XObAo,3,0.2,FRANKENSTEIN,0.6689655172413793,11,0.881023822,LiCheb,4
LookHops,j50hn,3,0.2,FRANKENSTEIN,0.671264367816092,22,0.881023822,LiCheb,4
LookHops,X8qtG,3,0.2,FRANKENSTEIN,0.5862068965517241,33,0.881023822,LiCheb,4
LookHops,H328p,3,0.2,FRANKENSTEIN,0.6528735632183909,44,0.881023822,LiCheb,4
LookHops,HCWgY,3,0.2,FRANKENSTEIN,0.6758620689655173,55,0.881023822,LiCheb,4
LookHops,dtKcc,3,0.2,FRANKENSTEIN,0.6620689655172414,66,0.881023822,LiCheb,4
LookHops,VT6KJ,3,0.2,FRANKENSTEIN,0.6620689655172414,77,0.881023822,LiCheb,4
LookHops,nliI5,3,0.2,FRANKENSTEIN,0.6666666666666666,88,0.881023822,LiCheb,4
LookHops,j5oqG,3,0.2,FRANKENSTEIN,0.6528735632183909,99,0.881023822,LiCheb,4
LookHops,JcFFq,3,0.2,FRANKENSTEIN,0.6528735632183909,110,0.881023822,LiCheb,4
LookHops,hZQOj,3,0.3,FRANKENSTEIN,0.671264367816092,11,0.881023822,LiCheb,4
LookHops,K5UVk,3,0.3,FRANKENSTEIN,0.6781609195402298,22,0.881023822,LiCheb,4
LookHops,gTH54,3,0.3,FRANKENSTEIN,0.6551724137931034,33,0.881023822,LiCheb,4
LookHops,vwuuS,3,0.3,FRANKENSTEIN,0.6344827586206897,44,0.881023822,LiCheb,4
LookHops,IpwUV,3,0.3,FRANKENSTEIN,0.6735632183908046,55,0.881023822,LiCheb,4
LookHops,cvMwO,3,0.3,FRANKENSTEIN,0.6160919540229886,66,0.881023822,LiCheb,4
LookHops,SXkhk,3,0.3,FRANKENSTEIN,0.639080459770115,77,0.881023822,LiCheb,4
LookHops,hfSvg,3,0.3,FRANKENSTEIN,0.6850574712643678,88,0.881023822,LiCheb,4
LookHops,ZV9yb,3,0.3,FRANKENSTEIN,0.6574712643678161,99,0.881023822,LiCheb,4
LookHops,X55OP,3,0.3,FRANKENSTEIN,0.6597701149425287,110,0.881023822,LiCheb,4
LookHops,FciLE,3,0.4,FRANKENSTEIN,0.6620689655172414,11,0.881023822,LiCheb,4
LookHops,m6GzP,3,0.4,FRANKENSTEIN,0.6735632183908046,22,0.881023822,LiCheb,4
LookHops,FfKLB,3,0.4,FRANKENSTEIN,0.639080459770115,33,0.881023822,LiCheb,4
LookHops,NSQSM,3,0.4,FRANKENSTEIN,0.6344827586206897,44,0.881023822,LiCheb,4
LookHops,Qw7Ws,3,0.4,FRANKENSTEIN,0.6781609195402298,55,0.881023822,LiCheb,4
LookHops,H93e6,3,0.4,FRANKENSTEIN,0.6574712643678161,66,0.881023822,LiCheb,4
LookHops,tfXxg,3,0.4,FRANKENSTEIN,0.639080459770115,77,0.881023822,LiCheb,4
LookHops,HrT3M,3,0.4,FRANKENSTEIN,0.6620689655172414,88,0.881023822,LiCheb,4
LookHops,UHPvL,3,0.4,FRANKENSTEIN,0.6620689655172414,99,0.881023822,LiCheb,4
LookHops,hWWw2,3,0.4,FRANKENSTEIN,0.6620689655172414,110,0.881023822,LiCheb,4
LookHops,Vcs1e,3,0.5,FRANKENSTEIN,0.664367816091954,11,0.881023822,LiCheb,4
LookHops,qIybs,3,0.5,FRANKENSTEIN,0.6620689655172414,22,0.881023822,LiCheb,4
