pooling_nodes,id,seed,K,num_layers,pooling_edges,dataset,pool,reward,conv
0.271521829,qJUKR,11,3,5,0.1,PROTEINS,LookHops,0.75,LiCheb
0.271521829,zAL0w,22,3,5,0.1,PROTEINS,LookHops,0.7678571428571429,LiCheb
0.271521829,gqZ4W,33,3,5,0.1,PROTEINS,LookHops,0.7142857142857143,LiCheb
0.271521829,JMgKI,44,3,5,0.1,PROTEINS,LookHops,0.6875,LiCheb
0.271521829,pTQjG,55,3,5,0.1,PROTEINS,LookHops,0.7321428571428571,LiCheb
0.271521829,Xkl94,66,3,5,0.1,PROTEINS,LookHops,0.7946428571428571,LiCheb
0.271521829,KDSqh,77,3,5,0.1,PROTEINS,LookHops,0.8214285714285714,LiCheb
0.271521829,DrcoQ,88,3,5,0.1,PROTEINS,LookHops,0.6964285714285714,LiCheb
0.271521829,b450N,99,3,5,0.1,PROTEINS,LookHops,0.7053571428571429,LiCheb
0.271521829,JD23v,110,3,5,0.1,PROTEINS,LookHops,0.7142857142857143,LiCheb
0.271521829,sOQin,11,3,5,0.2,PROTEINS,LookHops,0.7589285714285714,LiCheb
0.271521829,NUdiA,22,3,5,0.2,PROTEINS,LookHops,0.7232142857142857,LiCheb
0.271521829,vg6Wf,33,3,5,0.2,PROTEINS,LookHops,0.7232142857142857,LiCheb
0.271521829,tSqEe,44,3,5,0.2,PROTEINS,LookHops,0.6696428571428571,LiCheb
0.271521829,kV896,55,3,5,0.2,PROTEINS,LookHops,0.7053571428571429,LiCheb
0.271521829,kQjc8,66,3,5,0.2,PROTEINS,LookHops,0.7946428571428571,LiCheb
0.271521829,iazgW,77,3,5,0.2,PROTEINS,LookHops,0.7857142857142857,LiCheb
0.271521829,Ct1hK,88,3,5,0.2,PROTEINS,LookHops,0.6964285714285714,LiCheb
0.271521829,FCzUt,99,3,5,0.2,PROTEINS,LookHops,0.7142857142857143,LiCheb
0.271521829,uLmC0,110,3,5,0.2,PROTEINS,LookHops,0.6696428571428571,LiCheb
0.271521829,FlCxD,11,3,5,0.3,PROTEINS,LookHops,0.7857142857142857,LiCheb
0.271521829,TeVub,22,3,5,0.3,PROTEINS,LookHops,0.7053571428571429,LiCheb
0.271521829,vS5bY,33,3,5,0.3,PROTEINS,LookHops,0.6964285714285714,LiCheb
0.271521829,MBqrq,44,3,5,0.3,PROTEINS,LookHops,0.6696428571428571,LiCheb
0.271521829,PqMJC,55,3,5,0.3,PROTEINS,LookHops,0.6875,LiCheb
0.271521829,HMqaK,66,3,5,0.3,PROTEINS,LookHops,0.7946428571428571,LiCheb
0.271521829,Jw4ZP,77,3,5,0.3,PROTEINS,LookHops,0.7767857142857143,LiCheb
0.271521829,ugUAT,88,3,5,0.3,PROTEINS,LookHops,0.6964285714285714,LiCheb
0.271521829,KtaLY,99,3,5,0.3,PROTEINS,LookHops,0.7142857142857143,LiCheb
0.271521829,JLd7b,110,3,5,0.3,PROTEINS,LookHops,0.7321428571428571,LiCheb
0.271521829,htRaH,11,3,5,0.4,PROTEINS,LookHops,0.7589285714285714,LiCheb
0.271521829,bOU9f,22,3,5,0.4,PROTEINS,LookHops,0.6875,LiCheb
0.271521829,mYxUK,33,3,5,0.4,PROTEINS,LookHops,0.7232142857142857,LiCheb
0.271521829,jdYSo,44,3,5,0.4,PROTEINS,LookHops,0.6875,LiCheb
0.271521829,Y0UtH,55,3,5,0.4,PROTEINS,LookHops,0.6964285714285714,LiCheb
0.271521829,F2xLs,66,3,5,0.4,PROTEINS,LookHops,0.7946428571428571,LiCheb
0.271521829,uld2F,77,3,5,0.4,PROTEINS,LookHops,0.8035714285714286,LiCheb
0.271521829,feQKN,88,3,5,0.4,PROTEINS,LookHops,0.6964285714285714,LiCheb
0.271521829,BWuZJ,99,3,5,0.4,PROTEINS,LookHops,0.7142857142857143,LiCheb
0.271521829,c9sz7,110,3,5,0.4,PROTEINS,LookHops,0.7142857142857143,LiCheb
0.271521829,gboLD,11,3,5,0.5,PROTEINS,LookHops,0.75,LiCheb
0.271521829,jHzvx,22,3,5,0.5,PROTEINS,LookHops,0.7232142857142857,LiCheb
0.271521829,f41lx,33,3,5,0.5,PROTEINS,LookHops,0.75,LiCheb
