K,pooling_nodes,pooling_edges,conv,reward,seed,num_layers,id,dataset,pool
3,0.632026586,0.8,LiCheb,0.7420924574209246,77,5,ENrWY,NCI1,LookHops
3,0.632026586,0.8,LiCheb,0.7712895377128953,88,5,nrLOY,NCI1,LookHops
3,0.632026586,0.8,LiCheb,0.7420924574209246,99,5,vpjWx,NCI1,LookHops
3,0.632026586,0.8,LiCheb,0.7615571776155717,110,5,r78lO,NCI1,LookHops
3,0.632026586,0.9,LiCheb,0.7055961070559611,11,5,c0Mko,NCI1,LookHops
3,0.632026586,0.9,LiCheb,0.7688564476885644,22,5,s6OSp,NCI1,LookHops
3,0.632026586,0.9,LiCheb,0.7664233576642335,33,5,O3hri,NCI1,LookHops
3,0.632026586,0.9,LiCheb,0.805352798053528,44,5,GfNiI,NCI1,LookHops
3,0.632026586,0.9,LiCheb,0.8004866180048662,55,5,oH4KT,NCI1,LookHops
3,0.632026586,0.9,LiCheb,0.7591240875912408,66,5,PY5vO,NCI1,LookHops
3,0.632026586,0.9,LiCheb,0.781021897810219,77,5,quTLB,NCI1,LookHops
3,0.632026586,0.9,LiCheb,0.7518248175182481,88,5,WfVg1,NCI1,LookHops
3,0.632026586,0.9,LiCheb,0.732360097323601,99,5,oHHBH,NCI1,LookHops
3,0.632026586,0.9,LiCheb,0.7737226277372263,110,5,aJuhK,NCI1,LookHops
