reward,pooling_edges,conv,dataset,id,K,num_layers,pool,pooling_nodes,seed,,
0.760869565,0.7,LiCheb,NCI109,zNsXU,3,4,LookHops,0.841586839,88,,
0.777777778,0.7,LiCheb,NCI109,K7dUK,3,4,LookHops,0.841586839,99,,
0.760869565,0.7,LiCheb,NCI109,VKior,3,4,LookHops,0.841586839,110,,
0.734299517,0.8,LiCheb,NCI109,Y9ZhE,3,4,LookHops,0.841586839,11,,
0.770531401,0.8,LiCheb,NCI109,S8lSY,3,4,LookHops,0.841586839,22,,
0.748792271,0.8,LiCheb,NCI109,Bks5K,3,4,LookHops,0.841586839,33,,
0.763285024,0.8,LiCheb,NCI109,B6bEK,3,4,LookHops,0.841586839,44,,
0.775362319,0.8,LiCheb,NCI109,A5DVa,3,4,LookHops,0.841586839,55,,
0.758454106,0.8,LiCheb,NCI109,HY3ov,3,4,LookHops,0.841586839,66,,
0.758454106,0.8,LiCheb,NCI109,z50nK,3,4,LookHops,0.841586839,77,,
0.785024155,0.8,LiCheb,NCI109,HwylY,3,4,LookHops,0.841586839,88,,
0.756038647,0.8,LiCheb,NCI109,RKobu,3,4,LookHops,0.841586839,99,,
0.760869565,0.8,LiCheb,NCI109,LLAYs,3,4,LookHops,0.841586839,110,,
0.770531401,0.9,LiCheb,NCI109,YgKzq,3,4,LookHops,0.841586839,11,,
0.751207729,0.9,LiCheb,NCI109,s769H,3,4,LookHops,0.841586839,22,,
0.758454106,0.9,LiCheb,NCI109,wRxS7,3,4,LookHops,0.841586839,33,,
0.765700483,0.9,LiCheb,NCI109,Scdvv,3,4,LookHops,0.841586839,44,,
0.775362319,0.9,LiCheb,NCI109,f6SDK,3,4,LookHops,0.841586839,55,,
0.763285024,0.9,LiCheb,NCI109,kLykx,3,4,LookHops,0.841586839,66,,
0.736714976,0.9,LiCheb,NCI109,ABqW2,3,4,LookHops,0.841586839,77,,
0.768115942,0.9,LiCheb,NCI109,PfapD,3,4,LookHops,0.841586839,88,,
0.758454106,0.9,LiCheb,NCI109,coUHO,3,4,LookHops,0.841586839,99,,
0.724637681,0.9,LiCheb,NCI109,NmaDk,3,4,LookHops,0.841586839,110,,
