dataset,lr,dropout_ratio,weight_decay,edge_ratio,K,batch_size,pooling_ratio,id,reward,num_layers
NCI1,0.001,0,0,0.9663727180923778,4,256,0.7854459582198893,ivAaA,0.7712895377128953,4
NCI1,0.001,0,0,0.34999935114989783,4,256,0.7947439418908703,Bcawc,0.7396593673965937,5
NCI1,0.001,0,0,0.5758096454881017,2,256,0.7583502503945755,Fl7GK,0.7883211678832117,5
NCI1,0.001,0,0,0.30607445689138857,3,256,0.37039588582234273,g0IrT,0.7104622871046229,2
NCI1,0.001,0,0,0.27170305893197666,2,256,0.3070742760892734,uLQp7,0.6642335766423357,3
NCI1,0.001,0,0,0.5118279400163386,3,256,0.5843981686967019,fTbMZ,0.7518248175182481,3
NCI1,0.001,0,0,0.5561473668956141,2,256,0.5646103852351699,RrgmT,0.7566909975669099,6
NCI1,0.001,0,0,0.812744344190597,1,256,0.3742073849887072,ZIM6r,0.4744525547445255,3
NCI1,0.001,0,0,0.7579460959264293,3,256,0.10270707064382344,hi3KB,0.7226277372262774,4
NCI1,0.001,0,0,0.9776684455240168,2,256,0.17514321086392137,lsVH4,0.7007299270072993,6
NCI1,0.001,0,0,0.7701378556584839,2,256,0.6689918652089375,gJXRM,0.732360097323601,6
NCI1,0.001,0,0,0.7458809835440334,2,256,0.16835980623657276,D3St4,0.7372262773722628,2
NCI1,0.001,0,0,0.4609670184147886,4,256,0.5870953446440375,CMlwE,0.7688564476885644,3
NCI1,0.001,0,0,0.931064578737492,2,256,0.8083451316513729,ADExN,0.7445255474452555,4
NCI1,0.001,0,0,0.25522510149025424,2,256,0.14929187538654834,mS682,0.7031630170316302,4
NCI1,0.001,0,0,0.4696600078312163,1,256,0.41305336166521767,Udyam,0.5109489051094891,3
NCI1,0.001,0,0,0.9519333315312408,4,256,0.27720046913833346,XzezM,0.6982968369829684,5
NCI1,0.001,0,0,0.8355011864364419,3,256,0.11898652770348789,Nf9Mz,0.7104622871046229,6
NCI1,0.001,0,0,0.3783836306023589,1,256,0.8457386185321186,bdb7W,0.6277372262773723,6
NCI1,0.001,0,0,0.386432061043171,3,256,0.6722536145056026,lfyPs,0.7566909975669099,6
NCI1,0.001,0,0,0.8361626591701772,1,256,0.2472028614137762,HaFZh,0.6058394160583942,5
NCI1,0.001,0,0,0.4345678177908358,3,256,0.8848277000486164,EFaTq,0.7493917274939172,6
NCI1,0.001,0,0,0.7790445369201247,1,256,0.20172040115033188,fiBlI,0.5547445255474452,6
NCI1,0.001,0,0,0.37636270407326544,1,256,0.3873494800727765,A2maD,0.5231143552311436,4
NCI1,0.001,0,0,0.25200032689045504,3,256,0.7074934745301074,MMh4N,0.754257907542579,2
