batch_size,lr,K,num_layers,dropout_ratio,reward,id,dataset,weight_decay,pooling_ratio,edge_ratio
256,0.001,2,2,0,0.7310924369747899,WyDba,DD,0,0.8573689930552635,0.47501890123758134
256,0.001,1,2,0,0.7647058823529411,BTfo1,DD,0,0.6674567918239404,0.459389376671288
256,0.001,1,3,0,0.7899159663865546,M17qN,DD,0,0.89689079433854,0.5325114879580065
256,0.001,3,5,0,0.8067226890756303,I0fVs,DD,0,0.5946123109576144,0.24119606927476822
256,0.001,1,5,0,0.6134453781512605,SP93n,DD,0,0.10355930924647004,0.5064605948381333
256,0.001,4,2,0,0.7899159663865546,zKnoc,DD,0,0.7236261415331167,0.8016818418272944
256,0.001,2,5,0,0.7983193277310925,SjdrH,DD,0,0.6193182105499588,0.40697151908005624
256,0.001,3,3,0,0.773109243697479,KGtCs,DD,0,0.5421241500951393,0.9695425784898186
256,0.001,3,3,0,0.7394957983193278,XgpOI,DD,0,0.24664503036825397,0.37168195425446293
256,0.001,1,3,0,0.7394957983193278,ge9VF,DD,0,0.8411351418481057,0.23841254450882926
256,0.001,3,6,0,0.7647058823529411,UrtxD,DD,0,0.45837882661780405,0.28212044239756384
256,0.001,3,2,0,0.7563025210084033,a5T9d,DD,0,0.12609581412720977,0.9353018541979508
256,0.001,1,6,0,0.7647058823529411,OZsKp,DD,0,0.8594090059138602,0.49507297520098925
256,0.001,2,6,0,0.773109243697479,GEWKZ,DD,0,0.30883903172592797,0.9342848817073606
256,0.001,2,3,0,0.7899159663865546,vs0AA,DD,0,0.6706666949711174,0.44537394324959867
256,0.001,3,6,0,0.8235294117647058,uWcdO,DD,0,0.8101900910512123,0.47167995890150705
256,0.001,4,3,0,0.7983193277310925,rG5Wi,DD,0,0.7128141788126543,0.39160521396825576
256,0.001,1,4,0,0.6470588235294118,nI6X6,DD,0,0.3784436637958407,0.8293002189167396
256,0.001,4,2,0,0.8067226890756303,UzOvQ,DD,0,0.89703263886406,0.8983461741619105
256,0.001,2,2,0,0.7563025210084033,rONEe,DD,0,0.45221775779027606,0.29039508764486277
256,0.001,4,6,0,0.7478991596638656,VdoA7,DD,0,0.7669633899951068,0.9186299186675024
256,0.001,3,4,0,0.773109243697479,oHTXO,DD,0,0.5295424725021898,0.2821204257967872
256,0.001,3,2,0,0.7478991596638656,H2Pee,DD,0,0.14676500621942656,0.7097872090966406
256,0.001,2,3,0,0.8067226890756303,YA6Qb,DD,0,0.512539842396456,0.20307073555454302
256,0.001,1,6,0,0.7142857142857143,QjIZs,DD,0,0.4188114216858486,0.34521917187598594
256,0.001,3,6,0,0.6890756302521008,LTlKq,DD,0,0.1317752867241529,0.7432439407180127
256,0.001,2,4,0,0.7815126050420168,fSB4l,DD,0,0.7890019356154844,0.5100046720053066
256,0.001,2,3,0,0.7983193277310925,jJGtA,DD,0,0.19359098575485928,0.528359844281509
