K,pooling_ratio,edge_ratio,reward,id,dataset,lr,dropout_ratio,num_layers,batch_size,weight_decay
3,0.2728439567669439,0.9113810397979536,0.875,nwcHw,PROTEINS,0.001,0.2640783410197691,5,64,0
4,0.2695685613039186,0.621823272186814,0.8392857142857143,cdENq,PROTEINS,0.001,0.26552004345896896,3,64,0
4,0.2659732698472286,0.5632286156659002,0.8303571428571429,j8Qx2,PROTEINS,0.001,0.2654881464679195,3,64,0
4,0.28326989750022347,0.5679372954436059,0.8660714285714286,DoCUe,PROTEINS,0.001,0.25003667318202577,3,64,0
4,0.2656741128307333,0.5621876823799985,0.8303571428571429,SfocT,PROTEINS,0.001,0.263676020137674,3,64,0
3,0.27405695045198825,0.9020918287297901,0.8214285714285714,seWHl,PROTEINS,0.001,0.2536874986966808,5,64,0.001
3,0.28190337109858776,0.8391132765887879,0.8392857142857143,JwYWE,PROTEINS,0.001,0.25398045352969584,5,64,0.001
3,0.27880931305020223,0.8361558939322606,0.8660714285714286,D8VJ6,PROTEINS,0.001,0.5174069048745114,5,64,0.001
3,0.4023095715639419,0.5604400021501709,0.7857142857142857,RNprb,PROTEINS,0.001,0.3616321589867015,5,64,0
3,0.28077404232531805,0.5820663649110479,0.8214285714285714,qT11P,PROTEINS,0.001,0.3586026289037352,5,64,0
3,0.2870435463915122,0.5587753882371338,0.8928571428571429,Zqj5h,PROTEINS,0.001,0.2624398372332619,5,64,0
3,0.2762369346684808,0.9072229060186835,0.8928571428571429,b5RWf,PROTEINS,0.001,0.5167835311182211,5,64,0
3,0.28475435976758506,0.5559116312475954,0.8214285714285714,u6Sa2,PROTEINS,0.001,0.3635207428291368,5,64,0
3,0.42029601242157655,0.5620949875900677,0.8035714285714286,hlmLm,PROTEINS,0.001,0.26291080337877576,5,64,0
3,0.28218124341963435,0.5605972809346013,0.8839285714285714,jJcq1,PROTEINS,0.001,0.26420052084693785,5,64,0
3,0.2813127255464014,0.5621503305869516,0.8482142857142857,YOHY0,PROTEINS,0.001,0.24961695540211679,5,64,0
3,0.2818474989951941,0.5828998638616407,0.875,h8dkl,PROTEINS,0.001,0.35740615190381037,5,64,0
3,0.28700790138264265,0.5804615313515,0.8660714285714286,LJIri,PROTEINS,0.001,0.5447542188692085,5,64,0
3,0.27858133803064644,0.5611142564086575,0.8392857142857143,fVZgg,PROTEINS,0.001,0.26485113940232324,5,64,0
3,0.284191983475817,0.8075282501656751,0.7857142857142857,hCyhK,PROTEINS,0.001,0.356096685903094,5,64,0.0001
3,0.42332664300599787,0.9023963246538385,0.7767857142857143,TF3MJ,PROTEINS,0.001,0.2739964502375971,5,64,0.0001
3,0.28147701028612027,0.8962959855861762,0.8660714285714286,DI95h,PROTEINS,0.001,0.2590197156753511,5,64,0.0001
3,0.40608151833585127,0.8445219907407094,0.8125,Ynfwy,PROTEINS,0.001,0.28136089054736263,5,64,0.0001
3,0.2807345617478424,0.8934197668717547,0.8928571428571429,tEMH0,PROTEINS,0.001,0.2670054614716682,5,64,0.0001
3,0.27890417114210886,0.887040171198222,0.8392857142857143,SYS9j,PROTEINS,0.001,0.3590087962070564,5,64,0.0001
3,0.2777205185866006,0.8340507827710486,0.875,VcXPG,PROTEINS,0.001,0.29042414900009567,5,64,0.0001
3,0.28981697193550415,0.8971085545198678,0.875,IT0C5,PROTEINS,0.001,0.5472692024111769,5,64,0.0001
3,0.2839319333864727,0.9016862709899254,0.8392857142857143,LmBuD,PROTEINS,0.001,0.36295527041864095,5,64,0.0001
3,0.28879407211619795,0.8997900945559267,0.875,aCOkl,PROTEINS,0.001,0.2815695268335531,5,64,0.0001
3,0.28595341871831026,0.8964396568497757,0.8035714285714286,O6zxv,PROTEINS,0.001,0.365577154321152,5,64,0.0001
3,0.3985123422237834,0.5791727380468803,0.8125,DspSj,PROTEINS,0.001,0.2667274914034129,5,64,0.0001
3,0.40918152662218643,0.5815467026786916,0.7857142857142857,y4USS,PROTEINS,0.001,0.2662655655642072,5,64,0.0001
3,0.2812056206305649,0.9239834806898398,0.8571428571428571,a5zB6,PROTEINS,0.001,0.5363188990150637,5,64,0.0001
3,0.27765271835896976,0.5814425946934682,0.875,jgRG5,PROTEINS,0.001,0.26605053864005,5,64,0.0001
3,0.4130389537504543,0.5816143857890483,0.8214285714285714,pfQeA,PROTEINS,0.001,0.5158476662022129,2,64,0.0001
3,0.4021934401508188,0.9082855941904134,0.7946428571428571,fgK54,PROTEINS,0.001,0.35951052307783044,5,64,0
3,0.3968015418880474,0.9103712912144969,0.8482142857142857,lCiTr,PROTEINS,0.001,0.3689860111918348,5,64,0.0001
3,0.4047030413392291,0.9126626836904472,0.8125,o6Aub,PROTEINS,0.001,0.3561627028654977,5,64,0.0001
3,0.38566712065458436,0.9318738262094538,0.8660714285714286,rKxx4,PROTEINS,0.001,0.35164098093795004,5,64,0.0001
3,0.40605569394955066,0.9199710351959529,0.8125,gDoCw,PROTEINS,0.001,0.3583043111205067,5,64,0.0001
3,0.38898306139811134,0.9102103473418912,0.8392857142857143,BRB6C,PROTEINS,0.001,0.5400186677242389,5,64,0.0001
3,0.38335352300701364,0.9208902940968109,0.8125,a9n0k,PROTEINS,0.001,0.35180733237241923,5,64,0.0001
3,0.40913215619345566,0.9281976490053273,0.8571428571428571,LxVRb,PROTEINS,0.001,0.3648767857881896,5,64,0.0001
3,0.3915231629032109,0.9340069893873838,0.7946428571428571,z8nCi,PROTEINS,0.001,0.3600836050769883,5,64,0.0001
3,0.3978067968506455,0.9534052487385825,0.8392857142857143,bErAr,PROTEINS,0.001,0.35260634213712166,5,64,0.0001
3,0.39462243952039666,0.9356950930684746,0.8303571428571429,OhRti,PROTEINS,0.001,0.36467010384125753,5,64,0
3,0.31670293262391697,0.9352116174555021,0.8482142857142857,mC2sk,PROTEINS,0.001,0.16139839904914915,5,64,0.0001
3,0.38410441490303543,0.9306720355494564,0.7946428571428571,NXqFp,PROTEINS,0.001,0.1889513592942216,5,64,0.0001
3,0.5645116406350534,0.933890889271981,0.8035714285714286,M8K7d,PROTEINS,0.001,0.19345155623494137,5,64,0.0001
3,0.5655257615385594,0.9634431750244477,0.8392857142857143,ehaZP,PROTEINS,0.001,0.012739811670433504,5,64,0.0001
3,0.3965620399518049,0.935088950387155,0.8125,Yj8ex,PROTEINS,0.001,0.010104936435497203,5,64,0.0001
3,0.38531323348720276,0.9369894522900145,0.8125,BOs1l,PROTEINS,0.001,0.19462655178941898,5,64,0.0001
3,0.3931306298899214,0.958467714880048,0.8035714285714286,eRrr5,PROTEINS,0.001,0.15241685970631708,5,64,0.0001
3,0.4460178742261971,0.9393279212458886,0.8392857142857143,tHc0M,PROTEINS,0.001,0.17968534839686634,5,64,0.0001
3,0.5568919487503661,0.959156980852665,0.8571428571428571,YKDcu,PROTEINS,0.001,0.19501335091280161,5,64,0.0001
3,0.4551075858308803,0.8616829536875874,0.8571428571428571,IvI3p,PROTEINS,0.001,0.013676649108597505,5,64,0.0001
3,0.5572492094467847,0.937403830528447,0.8303571428571429,zcQmy,PROTEINS,0.001,0.19671053341550854,5,64,0.0001
3,0.4595175463871968,0.9371940234656848,0.8125,t3OP0,PROTEINS,0.001,0.06755897243461093,5,64,0.0001
3,0.45503910269063985,0.9352723084980553,0.8125,XNczk,PROTEINS,0.001,0.2028811654067403,5,64,0.0001
3,0.45887654240504205,0.9551167331368292,0.8392857142857143,gMNeg,PROTEINS,0.001,0.025057063222015452,5,64,0
3,0.39310214464430127,0.9422092021214041,0.8392857142857143,UM8UK,PROTEINS,0.001,0.07652833874273252,5,64,0
3,0.45008816742458496,0.883517690696206,0.8303571428571429,SxjnK,PROTEINS,0.001,0.0017693994932240775,5,64,0
3,0.4566749773755401,0.8614456264960556,0.8392857142857143,xWy5q,PROTEINS,0.001,0.154859885115936,5,64,0.0001
3,0.31888794435276246,0.8635260903312949,0.8303571428571429,TsXbA,PROTEINS,0.001,0.161129965242375,5,64,0.0001
3,0.47133290120115967,0.8637533160894036,0.8303571428571429,budmI,PROTEINS,0.001,0.15098341971896906,5,64,0.0001
3,0.4569355666048618,0.9560000062786683,0.8660714285714286,T3fdz,PROTEINS,0.001,0.16155256460506262,5,64,0.0001
3,0.3170827867833783,0.8658998291690639,0.8482142857142857,OF1j8,PROTEINS,0.001,0.17973455444056535,5,64,0.0001
3,0.58988663582074,0.9648430588053042,0.8214285714285714,sPEnj,PROTEINS,0.001,0.19371444860290715,5,64,0.0001
3,0.8630850132613488,0.9477290370270347,0.7589285714285714,pNiAZ,PROTEINS,0.001,0.1987295102764709,5,64,0.0001
3,0.5650805473719386,0.8696345667740212,0.8214285714285714,L0MJI,PROTEINS,0.001,0.1791454680754886,5,64,0.0001
3,0.44951139996019607,0.9611224865545756,0.8482142857142857,zricz,PROTEINS,0.001,0.010864028260035408,5,64,0
3,0.45102962456115814,0.8615991218841643,0.8482142857142857,YA67g,PROTEINS,0.001,0.07846163282755081,5,64,0
3,0.43792225182265493,0.9612041424770174,0.8571428571428571,w69Sl,PROTEINS,0.001,0.16012152358913473,5,64,0
3,0.44706865533525486,0.8747502015880564,0.8214285714285714,qXUyR,PROTEINS,0.001,0.16332186136829108,5,64,0
3,0.37583105726272276,0.9392156413133756,0.8571428571428571,cX7oM,PROTEINS,0.001,0.06922569330055778,5,64,0
3,0.5559067554066738,0.9520082400966319,0.8125,uzwab,PROTEINS,0.001,0.06991502784338807,5,64,0
3,0.43374977596531256,0.9605927858754192,0.8392857142857143,OTZRh,PROTEINS,0.001,0.18414110723999794,5,64,0
3,0.4611362079103061,0.9740488412117562,0.8482142857142857,f41Iu,PROTEINS,0.001,0.18749912391802304,5,64,0
3,0.32083555648992745,0.9536538894923219,0.8303571428571429,NhO70,PROTEINS,0.001,0.18957602346024888,5,64,0
3,0.4633175679617956,0.861900803900035,0.8392857142857143,u0UGK,PROTEINS,0.001,0.1549051781771397,5,64,0
3,0.5903089719439176,0.8678866491348675,0.8035714285714286,GNhey,PROTEINS,0.001,0.15423291789248286,5,64,0
3,0.3194307462977171,0.8618969920983632,0.8214285714285714,PQfBM,PROTEINS,0.001,0.06883321941441609,5,64,0
3,0.5968255182821873,0.9997836010503884,0.8214285714285714,VVPZ2,PROTEINS,0.001,0.18646281933964423,5,64,0
3,0.45788327710318044,0.8649366914716012,0.8571428571428571,yzasI,PROTEINS,0.001,0.07586422951620198,5,64,0
3,0.4791919543007357,0.8629263206790239,0.8482142857142857,V4K8d,PROTEINS,0.001,0.07152400957946164,5,64,0
3,0.19781446133808844,0.9849387899768594,0.8303571428571429,ztV00,PROTEINS,0.001,0.23714125538938566,6,64,0
3,0.5295809042541381,0.9793194152327221,0.8125,tA1qy,PROTEINS,0.001,0.10134284407275357,6,64,0
3,0.1954499314651897,0.9795025916703388,0.8125,w9BdZ,PROTEINS,0.001,0.10536493559155227,6,64,0
3,0.194097666937737,0.9769610888304595,0.8125,j0kxD,PROTEINS,0.001,0.1299108212565565,6,64,0
3,0.857224189601232,0.9819319807841489,0.8482142857142857,BO8cx,PROTEINS,0.001,0.5667520827901253,6,64,0
3,0.1902493170679997,0.9756367818101728,0.8392857142857143,qfnYQ,PROTEINS,0.001,0.23559728250007073,5,64,0
3,0.19485896696898203,0.9936253073516759,0.8303571428571429,oF2QK,PROTEINS,0.001,0.230556121004242,6,64,0
3,0.21990546538928848,0.9994386643356923,0.8035714285714286,yieF1,PROTEINS,0.001,0.10255941202746022,6,64,0
3,0.21861288331354917,0.9799467384390623,0.8392857142857143,Pn5Bj,PROTEINS,0.001,0.11260029353693732,6,64,0
3,0.19472914054120605,0.9803458565685303,0.8214285714285714,rOHSB,PROTEINS,0.001,0.2987745759510886,6,64,0
3,0.20070093717385207,0.9786386331171176,0.8035714285714286,uuyag,PROTEINS,0.001,0.23622184874694113,6,64,0
3,0.19633558979481086,0.9819870745765608,0.8125,DbIeR,PROTEINS,0.001,0.09611517882913698,6,64,0
3,0.5284350887226712,0.970639993246735,0.7946428571428571,HyMis,PROTEINS,0.001,0.23496251299496207,6,64,0
3,0.5268174950023853,0.999096684032445,0.7857142857142857,GT5r8,PROTEINS,0.001,0.11570737986205548,6,64,0
3,0.3679103616524715,0.7505733519842898,0.8035714285714286,Qvtgv,PROTEINS,0.001,0.09147611271006437,6,64,0
3,0.21790752023222687,0.9719943609396953,0.8214285714285714,tC9yC,PROTEINS,0.001,0.22891052397598818,6,64,0
3,0.36789314595970246,0.9895591753558683,0.8214285714285714,tWPfp,PROTEINS,0.001,0.10857600466887632,6,64,0
