num_layers,reward,conv,pool,id,pooling_edges,pooling_nodes,dataset,seed,K
4,0.7294685990338164,LiCheb,TopkPool,Y8dch,1,0.841586839,NCI109,11,3
4,0.7125603864734299,LiCheb,TopkPool,HC61Z,1,0.841586839,NCI109,22,3
4,0.7101449275362319,LiCheb,TopkPool,fUVWk,1,0.841586839,NCI109,33,3
4,0.7632850241545893,LiCheb,TopkPool,LA5ko,1,0.841586839,NCI109,44,3
4,0.7705314009661836,LiCheb,TopkPool,AR3ha,1,0.841586839,NCI109,55,3
4,0.7536231884057971,LiCheb,TopkPool,dhX5u,1,0.841586839,NCI109,66,3
4,0.7415458937198067,LiCheb,TopkPool,qmMnn,1,0.841586839,NCI109,77,3
4,0.7801932367149759,LiCheb,TopkPool,OIPPB,1,0.841586839,NCI109,88,3
4,0.7705314009661836,LiCheb,TopkPool,e3vDK,1,0.841586839,NCI109,99,3
4,0.7028985507246377,LiCheb,TopkPool,iIcQQ,1,0.841586839,NCI109,110,3
4,0.7077294685990339,LiCheb,SAGPool,ok1Sk,1,0.841586839,NCI109,11,3
4,0.7439613526570048,LiCheb,SAGPool,V9cTw,1,0.841586839,NCI109,22,3
4,0.7367149758454107,LiCheb,SAGPool,L4Heq,1,0.841586839,NCI109,33,3
4,0.7801932367149759,LiCheb,SAGPool,N0QqT,1,0.841586839,NCI109,44,3
4,0.7246376811594203,LiCheb,SAGPool,vZI4u,1,0.841586839,NCI109,55,3
4,0.7584541062801933,LiCheb,SAGPool,WIEY7,1,0.841586839,NCI109,66,3
4,0.748792270531401,LiCheb,SAGPool,sJqZ7,1,0.841586839,NCI109,77,3
4,0.7705314009661836,LiCheb,SAGPool,jz2l0,1,0.841586839,NCI109,88,3
4,0.7753623188405797,LiCheb,SAGPool,ihxgi,1,0.841586839,NCI109,99,3
4,0.7536231884057971,LiCheb,SAGPool,yqwLJ,1,0.841586839,NCI109,110,3
4,0.7681159420289855,LiCheb,EdgePool,zUvQa,1,0.841586839,NCI109,11,3
4,0.7681159420289855,LiCheb,EdgePool,FKu0v,1,0.841586839,NCI109,22,3
4,0.7318840579710145,LiCheb,EdgePool,Y1StO,1,0.841586839,NCI109,33,3
4,0.7415458937198067,LiCheb,EdgePool,Me0zx,1,0.841586839,NCI109,44,3
4,0.7922705314009661,LiCheb,EdgePool,L7ghM,1,0.841586839,NCI109,55,3
4,0.7608695652173914,LiCheb,EdgePool,OYDaF,1,0.841586839,NCI109,66,3
4,0.7560386473429952,LiCheb,EdgePool,BWfQ9,1,0.841586839,NCI109,77,3
4,0.7657004830917874,LiCheb,EdgePool,zV20D,1,0.841586839,NCI109,88,3
4,0.748792270531401,LiCheb,EdgePool,b9V3y,1,0.841586839,NCI109,99,3
4,0.7777777777777778,LiCheb,EdgePool,oEZf8,1,0.841586839,NCI109,110,3
4,0.7125603864734299,LiCheb,ASAPPool,mR7q1,1,0.841586839,NCI109,11,3
4,0.7367149758454107,LiCheb,ASAPPool,X3Ttg,1,0.841586839,NCI109,22,3
4,0.7463768115942029,LiCheb,ASAPPool,LUUR5,1,0.841586839,NCI109,33,3
4,0.785024154589372,LiCheb,ASAPPool,lYcht,1,0.841586839,NCI109,44,3
4,0.7367149758454107,LiCheb,ASAPPool,WFE4A,1,0.841586839,NCI109,55,3
4,0.7584541062801933,LiCheb,ASAPPool,Ckg2B,1,0.841586839,NCI109,66,3
4,0.7753623188405797,LiCheb,ASAPPool,W1odx,1,0.841586839,NCI109,77,3
4,0.785024154589372,LiCheb,ASAPPool,CUlet,1,0.841586839,NCI109,88,3
4,0.8115942028985508,LiCheb,ASAPPool,DkljK,1,0.841586839,NCI109,99,3
4,0.7705314009661836,LiCheb,ASAPPool,lEKRI,1,0.841586839,NCI109,110,3
4,0.7560386473429952,LiCheb,LookHops,cLVvW,1,0.841586839,NCI109,11,3
4,0.7270531400966184,LiCheb,LookHops,zudUa,1,0.841586839,NCI109,22,3
4,0.7439613526570048,LiCheb,LookHops,eGv5U,1,0.841586839,NCI109,33,3
4,0.7391304347826086,LiCheb,LookHops,MZu8L,1,0.841586839,NCI109,44,3
4,0.7705314009661836,LiCheb,LookHops,mCLVC,1,0.841586839,NCI109,55,3
4,0.7946859903381642,LiCheb,LookHops,tuxyn,1,0.841586839,NCI109,66,3
4,0.7270531400966184,LiCheb,LookHops,Ia5IE,1,0.841586839,NCI109,77,3
4,0.7874396135265701,LiCheb,LookHops,nmOpt,1,0.841586839,NCI109,88,3
4,0.7608695652173914,LiCheb,LookHops,xAgNI,1,0.841586839,NCI109,99,3
4,0.751207729468599,LiCheb,LookHops,awU2P,1,0.841586839,NCI109,110,3
