edge_ratio,reward,decoupled,dataset,num_layers,seed,id,K,pooling_ratio,conv
0.307659552,0.8214285714285714,False,PROTEINS,5,777,TEfjC,3,0.271521829,ChebConv
0.307659552,0.8035714285714286,True,PROTEINS,5,777,CVLCQ,3,0.271521829,ChebConv
0.307659552,0.75,False,PROTEINS,5,777,J634Q,3,0.271521829,LiCheb
0.307659552,0.8839285714285714,True,PROTEINS,5,777,oiWgj,3,0.271521829,LiCheb
