conv,reward,id,K,num_layers,pooling_ratio,dataset,seed,edge_ratio,decoupled
ChebConv,0.7372262773722628,BCFqI,3,5,0.632026586,NCI1,777,0.893912518,False
ChebConv,0.7761557177615572,xkF7e,3,5,0.632026586,NCI1,777,0.893912518,True
LiCheb,0.7688564476885644,nUNpQ,3,5,0.632026586,NCI1,777,0.893912518,False
LiCheb,0.8029197080291971,rV9xk,3,5,0.632026586,NCI1,777,0.893912518,True
