conv,pooling_edges,reward,pooling_nodes,seed,decoupled,dataset,pool,id,num_layers,K
ChebConv,1,0.6638655462184874,0.543869989,11,True,DD,NoPool,K3CWx,5,3
ChebConv,1,0.7899159663865546,0.543869989,22,True,DD,NoPool,aK669,5,3
ChebConv,1,0.7647058823529411,0.543869989,33,True,DD,NoPool,Q3dXI,5,3
ChebConv,1,0.6974789915966386,0.543869989,44,True,DD,NoPool,pMJK5,5,3
ChebConv,1,0.6890756302521008,0.543869989,55,True,DD,NoPool,KKRpy,5,3
ChebConv,1,0.8235294117647058,0.543869989,66,True,DD,NoPool,vE1F5,5,3
ChebConv,1,0.7058823529411765,0.543869989,77,True,DD,NoPool,JVnzo,5,3
ChebConv,1,0.7899159663865546,0.543869989,88,True,DD,NoPool,f1ajS,5,3
ChebConv,1,0.7310924369747899,0.543869989,99,True,DD,NoPool,SqMHu,5,3
ChebConv,1,0.7310924369747899,0.543869989,110,True,DD,NoPool,Z8Fif,5,3
ChebConv,1,0.7226890756302521,0.543869989,11,False,DD,NoPool,VqmkZ,5,3
ChebConv,1,0.8151260504201681,0.543869989,22,False,DD,NoPool,Lh4EB,5,3
ChebConv,1,0.7394957983193278,0.543869989,33,False,DD,NoPool,iMrwD,5,3
ChebConv,1,0.7394957983193278,0.543869989,55,False,DD,NoPool,vQAfo,5,3
ChebConv,1,0.7563025210084033,0.543869989,66,False,DD,NoPool,Tb53D,5,3
ChebConv,1,0.7310924369747899,0.543869989,77,False,DD,NoPool,iEPCG,5,3
ChebConv,1,0.7983193277310925,0.543869989,88,False,DD,NoPool,V9fF2,5,3
ChebConv,1,0.7899159663865546,0.543869989,99,False,DD,NoPool,WuFgm,5,3
ChebConv,1,0.773109243697479,0.543869989,110,False,DD,NoPool,zs6At,5,3
LiCheb,1,0.7058823529411765,0.543869989,11,True,DD,NoPool,qBiBO,5,3
LiCheb,1,0.8151260504201681,0.543869989,22,True,DD,NoPool,Zmh5o,5,3
LiCheb,1,0.7058823529411765,0.543869989,33,True,DD,NoPool,rgD49,5,3
LiCheb,1,0.8319327731092437,0.543869989,44,True,DD,NoPool,WKg95,5,3
LiCheb,1,0.7226890756302521,0.543869989,55,True,DD,NoPool,nw4pu,5,3
LiCheb,1,0.7478991596638656,0.543869989,77,True,DD,NoPool,S9w6C,5,3
LiCheb,1,0.7142857142857143,0.543869989,88,True,DD,NoPool,qmh83,5,3
LiCheb,1,0.7815126050420168,0.543869989,110,True,DD,NoPool,FLAcu,5,3
LiCheb,1,0.7058823529411765,0.543869989,11,False,DD,NoPool,G4Djl,5,3
LiCheb,1,0.8235294117647058,0.543869989,22,False,DD,NoPool,lTEox,5,3
LiCheb,1,0.7647058823529411,0.543869989,33,False,DD,NoPool,eyYyl,5,3
LiCheb,1,0.773109243697479,0.543869989,44,False,DD,NoPool,CRtEx,5,3
LiCheb,1,0.7310924369747899,0.543869989,55,False,DD,NoPool,OR1Vy,5,3
LiCheb,1,0.8403361344537815,0.543869989,66,False,DD,NoPool,CYQnb,5,3
LiCheb,1,0.7899159663865546,0.543869989,77,False,DD,NoPool,BIddi,5,3
LiCheb,1,0.7647058823529411,0.543869989,88,False,DD,NoPool,MCMrF,5,3
LiCheb,1,0.7899159663865546,0.543869989,99,False,DD,NoPool,UlSoP,5,3
LiCheb,1,0.8151260504201681,0.543869989,110,False,DD,NoPool,pCHs0,5,3
LiCheb,1,0.8235294117647058,0.543869989,66,True,DD,NoPool,KGbRy,5,3
LiCheb,1,0.6974789915966386,0.543869989,99,True,DD,NoPool,ojXh0,5,3
ChebConv,1,0.7815126050420168,0.543869989,44,False,DD,NoPool,tmPQk,5,3
