reward,pooling_nodes,seed,conv,pooling_edges,num_layers,id,K,dataset,pool
0.7415458937198067,0.841586839,11,GCN,1,4,eser3,3,NCI109,NoPool
0.7318840579710145,0.841586839,22,GCN,1,4,M6Oy1,3,NCI109,NoPool
0.7246376811594203,0.841586839,33,GCN,1,4,t24G9,3,NCI109,NoPool
0.7729468599033816,0.841586839,44,GCN,1,4,AH4sC,3,NCI109,NoPool
0.7463768115942029,0.841586839,55,GCN,1,4,n0Tkn,3,NCI109,NoPool
0.7246376811594203,0.841586839,66,GCN,1,4,wxBcG,3,NCI109,NoPool
0.748792270531401,0.841586839,77,GCN,1,4,Qc8nn,3,NCI109,NoPool
0.7777777777777778,0.841586839,88,GCN,1,4,QNGtW,3,NCI109,NoPool
0.748792270531401,0.841586839,99,GCN,1,4,kPvKc,3,NCI109,NoPool
0.7294685990338164,0.841586839,110,GCN,1,4,xoBXv,3,NCI109,NoPool
0.7584541062801933,0.841586839,11,GAT,1,4,kPmpr,3,NCI109,NoPool
0.7367149758454107,0.841586839,22,GAT,1,4,JRs5Z,3,NCI109,NoPool
0.7222222222222222,0.841586839,33,GAT,1,4,enfwD,3,NCI109,NoPool
0.7608695652173914,0.841586839,44,GAT,1,4,uznqu,3,NCI109,NoPool
0.751207729468599,0.841586839,55,GAT,1,4,AO488,3,NCI109,NoPool
0.7584541062801933,0.841586839,66,GAT,1,4,GHtnC,3,NCI109,NoPool
0.7657004830917874,0.841586839,77,GAT,1,4,FF7J3,3,NCI109,NoPool
0.7898550724637681,0.841586839,88,GAT,1,4,gVvRl,3,NCI109,NoPool
0.7681159420289855,0.841586839,99,GAT,1,4,mBZYl,3,NCI109,NoPool
0.751207729468599,0.841586839,110,GAT,1,4,Bwx4V,3,NCI109,NoPool
0.7922705314009661,0.841586839,11,ChebConv,1,4,z0bk0,3,NCI109,NoPool
0.7753623188405797,0.841586839,22,ChebConv,1,4,NrKiN,3,NCI109,NoPool
0.7584541062801933,0.841586839,33,ChebConv,1,4,q5AGe,3,NCI109,NoPool
0.7946859903381642,0.841586839,44,ChebConv,1,4,pRstj,3,NCI109,NoPool
0.7632850241545893,0.841586839,55,ChebConv,1,4,BDLVG,3,NCI109,NoPool
0.7415458937198067,0.841586839,66,ChebConv,1,4,ufTaa,3,NCI109,NoPool
0.7632850241545893,0.841586839,77,ChebConv,1,4,cTfSc,3,NCI109,NoPool
0.8333333333333334,0.841586839,88,ChebConv,1,4,z3LW5,3,NCI109,NoPool
0.8067632850241546,0.841586839,99,ChebConv,1,4,Rxp5i,3,NCI109,NoPool
0.7777777777777778,0.841586839,110,ChebConv,1,4,Jf7n4,3,NCI109,NoPool
0.7584541062801933,0.841586839,11,LiCheb,1,4,OuNzz,3,NCI109,NoPool
0.7415458937198067,0.841586839,22,LiCheb,1,4,WrIGs,3,NCI109,NoPool
0.7463768115942029,0.841586839,33,LiCheb,1,4,WSHqy,3,NCI109,NoPool
0.8188405797101449,0.841586839,44,LiCheb,1,4,kay0a,3,NCI109,NoPool
0.7705314009661836,0.841586839,55,LiCheb,1,4,o4juC,3,NCI109,NoPool
0.7753623188405797,0.841586839,66,LiCheb,1,4,petay,3,NCI109,NoPool
0.7246376811594203,0.841586839,77,LiCheb,1,4,Kng5p,3,NCI109,NoPool
0.7608695652173914,0.841586839,88,LiCheb,1,4,sGoYv,3,NCI109,NoPool
0.8164251207729468,0.841586839,99,LiCheb,1,4,Yxr0Z,3,NCI109,NoPool
0.7439613526570048,0.841586839,110,LiCheb,1,4,IZWF7,3,NCI109,NoPool
