pooling_ratio,num_layers,dataset,dropout_ratio,weight_decay,K,lr,batch_size,edge_ratio,reward,id
0.19706093526567703,6,FRANKENSTEIN,0,0,4,0.001,256,0.7992221689697778,0.6781609195402298,szIzP
0.6353940424634922,3,FRANKENSTEIN,0,0,3,0.001,256,0.6884256409093373,0.664367816091954,ymAcL
0.7359294248204756,4,FRANKENSTEIN,0,0,4,0.001,256,0.4776117673999906,0.6758620689655173,quCY9
0.7989190228534068,5,FRANKENSTEIN,0,0,4,0.001,256,0.6727481573886822,0.6735632183908046,g9345
0.8943337614657352,4,FRANKENSTEIN,0,0,1,0.001,256,0.5402751234241248,0.5954022988505747,tJmF7
0.312139982077004,6,FRANKENSTEIN,0,0,4,0.001,256,0.23891286451525826,0.6298850574712643,ZVz72
0.12567368523539973,5,FRANKENSTEIN,0,0,1,0.001,256,0.47518270775549515,0.5747126436781609,Ix9vz
0.8313635035824682,2,FRANKENSTEIN,0,0,4,0.001,256,0.5427009052809459,0.6367816091954023,Irs5N
0.6854130627604678,2,FRANKENSTEIN,0,0,1,0.001,256,0.5209479101077084,0.5724137931034483,KSiy6
0.569347172684573,3,FRANKENSTEIN,0,0,3,0.001,256,0.21046010027782647,0.6275862068965518,UiLIf
0.8434242427094144,2,FRANKENSTEIN,0,0,4,0.001,256,0.9609026927451023,0.6459770114942529,fcBg7
0.38391920241783983,5,FRANKENSTEIN,0,0,2,0.001,256,0.9736365770374151,0.6574712643678161,UeLWv
0.35257605518758706,6,FRANKENSTEIN,0,0,1,0.001,256,0.46632410869124474,0.5816091954022988,S54VZ
0.7792951604511672,2,FRANKENSTEIN,0,0,1,0.001,256,0.2964595023867834,0.5586206896551724,zLMaO
0.2506460781763665,2,FRANKENSTEIN,0,0,3,0.001,256,0.42680276129361083,0.6551724137931034,F924W
0.7560721425718717,2,FRANKENSTEIN,0,0,4,0.001,256,0.30486143831386725,0.6528735632183909,weHoS
0.35211955914634874,4,FRANKENSTEIN,0,0,1,0.001,256,0.9379042345868183,0.593103448275862,IGFZu
0.5633726681614366,6,FRANKENSTEIN,0,0,3,0.001,256,0.2301375726388269,0.6689655172413793,bgtY1
0.21765322281388624,2,FRANKENSTEIN,0,0,4,0.001,256,0.6670511661942436,0.6574712643678161,p7nHZ
0.5952447318672962,2,FRANKENSTEIN,0,0,1,0.001,256,0.5489223817104666,0.5770114942528736,E0ebl
0.6947052250256177,6,FRANKENSTEIN,0,0,4,0.001,256,0.7791206211821311,0.6436781609195402,eGV6b
0.28982197147928357,4,FRANKENSTEIN,0,0,3,0.001,256,0.791394623598755,0.6597701149425287,bsK8Q
0.23057366908192423,4,FRANKENSTEIN,0,0,4,0.001,256,0.5920528225265996,0.6459770114942529,ZIWBJ
