pooling_ratio,dataset,id,reward,weight_decay,dropout_ratio,edge_ratio,K,batch_size,lr,num_layers
0.31489713436438055,ENZYMES,iaYUY,0.48333333333333334,0,0,0.6246468340723761,1,256,0.001,2
0.28062445398786573,ENZYMES,wpdRJ,0.3333333333333333,0,0,0.7380334964396111,1,256,0.001,4
0.5204781206077841,ENZYMES,stihC,0.55,0,0,0.832212968264977,1,256,0.001,3
0.41732894479579286,ENZYMES,fJABK,0.5166666666666667,0,0,0.8888534753385569,2,256,0.001,2
0.8473328608517795,ENZYMES,mUiUI,0.4,0,0,0.8445992599896985,3,256,0.001,6
0.6095001495102614,ENZYMES,dagmt,0.55,0,0,0.9792357852135551,2,256,0.001,6
0.37571615087774013,ENZYMES,RqY90,0.3333333333333333,0,0,0.7979266326033359,4,256,0.001,3
0.5586073820534537,ENZYMES,EF09y,0.4166666666666667,0,0,0.8097619394428242,2,256,0.001,5
0.7417362928803876,ENZYMES,w2juz,0.5666666666666667,0,0,0.5067992165081159,1,256,0.001,4
0.20852803392568228,ENZYMES,VjuD4,0.31666666666666665,0,0,0.6941815698155853,4,256,0.001,6
0.6682519612859783,ENZYMES,aS0S8,0.48333333333333334,0,0,0.9454230835563189,2,256,0.001,6
0.15739228982943523,ENZYMES,zyS4q,0.35,0,0,0.3339704256277607,4,256,0.001,6
0.6440516817773345,ENZYMES,H5YPy,0.4,0,0,0.6381983187924596,2,256,0.001,6
0.392181591006563,ENZYMES,l10Wj,0.3333333333333333,0,0,0.3313312285883584,4,256,0.001,5
0.5474126996210464,ENZYMES,j1LwL,0.35,0,0,0.5875670454906683,3,256,0.001,4
0.29688410357209427,ENZYMES,azbPk,0.4666666666666667,0,0,0.22269232831128027,1,256,0.001,2
0.11227659433008608,ENZYMES,y2TXR,0.36666666666666664,0,0,0.8666694138618709,3,256,0.001,4
0.8467126885883588,ENZYMES,IJFbC,0.5,0,0,0.30156459185504714,2,256,0.001,3
0.12970760354648647,ENZYMES,zuCJu,0.4166666666666667,0,0,0.5213583736179657,3,256,0.001,5
0.7652749385227001,ENZYMES,LijLQ,0.4666666666666667,0,0,0.7285524283126543,1,256,0.001,5
0.43024558618696473,ENZYMES,NpEQg,0.43333333333333335,0,0,0.9990599207531512,4,256,0.001,2
0.2310182666903245,ENZYMES,glmI3,0.48333333333333334,0,0,0.8181232683517639,3,256,0.001,6
0.3803293145635903,ENZYMES,zeccg,0.3333333333333333,0,0,0.9566288086928638,1,256,0.001,3
0.7745673492910168,ENZYMES,m65ON,0.5166666666666667,0,0,0.7939166368382875,1,256,0.001,5
0.47962490386053025,ENZYMES,di5Yt,0.3333333333333333,0,0,0.33630846831757666,1,256,0.001,4
0.5136782762344582,ENZYMES,Q3S3w,0.4,0,0,0.3600599815175207,4,256,0.001,6
0.8642270399991059,ENZYMES,YvC4R,0.4666666666666667,0,0,0.4682027631141168,1,256,0.001,5
0.3114670945727161,ENZYMES,lIyq3,0.5333333333333333,0,0,0.3926195544666407,1,256,0.001,6
0.8412647318380467,ENZYMES,efv9a,0.45,0,0,0.9425933352344331,2,256,0.001,3
0.641831519373924,ENZYMES,TgYkB,0.43333333333333335,0,0,0.42017311330089396,4,256,0.001,5
0.7909626756425475,ENZYMES,FFFXd,0.48333333333333334,0,0,0.3668820987354828,2,256,0.001,3
0.28386375202658787,ENZYMES,qvn3v,0.35,0,0,0.30540870786447416,3,256,0.001,3
0.5426498297777702,ENZYMES,mxedT,0.36666666666666664,0,0,0.8084084819780746,1,256,0.001,2
0.6230921919788323,ENZYMES,CQqmf,0.55,0,0,0.6882766060705123,3,256,0.001,5
0.606239986127057,ENZYMES,OVevh,0.36666666666666664,0,0,0.2146652769404044,2,256,0.001,4
0.7144036426579067,ENZYMES,oSYbn,0.55,0,0,0.6508035900490909,3,256,0.001,6
0.6716672980366987,ENZYMES,B3XMZ,0.6,0,0,0.3073099382351361,1,256,0.001,4
0.8477616906730543,ENZYMES,JjVMO,0.38333333333333336,0,0,0.7870245484503655,3,256,0.001,2
0.21597509717422778,ENZYMES,X4aqT,0.4666666666666667,0,0,0.9479585617884885,2,256,0.001,6
0.19546769500617672,ENZYMES,NKJ9D,0.35,0,0,0.3398276460860896,1,256,0.001,5
0.4344695395754592,ENZYMES,HI7xv,0.4,0,0,0.629842689845264,3,256,0.001,5
0.48830561757805435,ENZYMES,iftDK,0.2833333333333333,0,0,0.278606801307809,2,256,0.001,4
0.696997069643875,ENZYMES,bf8H1,0.36666666666666664,0,0,0.7105515906697111,2,256,0.001,5
0.739098923542485,ENZYMES,zDp1R,0.45,0,0,0.7131192477046724,4,256,0.001,3
0.5492427323608079,ENZYMES,GBKCT,0.43333333333333335,0,0,0.9139426268712589,1,256,0.001,2
0.6149865082231158,ENZYMES,Vs9LR,0.5,0,0,0.805040202194663,4,256,0.001,5
0.552555884452156,ENZYMES,MmKUU,0.2833333333333333,0,0,0.7210931243188652,3,256,0.001,4
0.7399938859819006,ENZYMES,l8DzK,0.55,0,0,0.4828576098226775,2,256,0.001,3
0.5802672574171434,ENZYMES,tNfxx,0.48333333333333334,0,0,0.719856211067371,2,256,0.001,2
0.7634215102740673,ENZYMES,rgg4H,0.5,0,0,0.7398667062325216,2,256,0.001,2
0.747944913014708,ENZYMES,tZzU9,0.5166666666666667,0,0,0.7450868320832765,2,256,0.001,2
0.5701856082994453,ENZYMES,ArUZk,0.55,0,0,0.8906903556711956,2,256,0.001,2
0.7414611593047362,ENZYMES,UxQ5w,0.55,0,0,0.7650359280798734,2,256,0.001,2
0.5627596649057814,ENZYMES,JC3sS,0.55,0,0,0.9223106087597531,2,256,0.001,2
0.7567962711318528,ENZYMES,j0nj0,0.5166666666666667,0,0,0.5028085922400763,1,256,0.001,4
0.7329195354071933,ENZYMES,Ny2Oa,0.5333333333333333,0,0,0.47844511030854364,1,256,0.001,4
0.7055907065311416,ENZYMES,AqXZt,0.6166666666666667,0,0,0.5275487273848394,1,256,0.001,4
0.7472691626422155,ENZYMES,LxgS2,0.4,0,0,0.5496892364935141,2,256,0.001,4
0.6945926574746835,ENZYMES,BcSsf,0.4,0,0,0.4963999674512794,2,256,0.001,4
0.7077625751483702,ENZYMES,D3AM0,0.31666666666666665,0,0,0.5509151420749397,2,256,0.001,4
0.7135889511616014,ENZYMES,mnLfl,0.35,0,0,0.5449662167509097,2,256,0.001,4
0.7175877201671086,ENZYMES,JmMUb,0.38333333333333336,0,0,0.5386807375635716,2,256,0.001,4
0.7033197420552177,ENZYMES,RAmmH,0.4666666666666667,0,0,0.5185518120575308,2,256,0.001,4
0.7164622228041784,ENZYMES,L83X5,0.35,0,0,0.550446161592056,2,256,0.001,4
0.6926186829519025,ENZYMES,hFDiT,0.31666666666666665,0,0,0.5640092572470139,2,256,0.001,4
0.7064747307169658,ENZYMES,U6LCi,0.4,0,0,0.5505893139063041,2,256,0.001,4
0.7097168323756344,ENZYMES,wJ40z,0.31666666666666665,0,0,0.5732067840497432,2,256,0.001,4
0.69391908698618,ENZYMES,WH8S9,0.4666666666666667,0,0,0.5614917754169082,1,256,0.001,3
0.6937087209524461,ENZYMES,bs2er,0.5666666666666667,0,0,0.5537327991651557,1,256,0.001,4
0.7101730711503671,ENZYMES,soXKh,0.5666666666666667,0,0,0.6722200869349124,1,256,0.001,4
0.6999679826583777,ENZYMES,cuDfd,0.5333333333333333,0,0,0.5658831736970267,1,256,0.001,4
0.6900461163947547,ENZYMES,Y2A1G,0.5333333333333333,0,0,0.5659431315933514,1,256,0.001,4
0.8893352164332067,ENZYMES,ADKBZ,0.5666666666666667,0,0,0.5660247609008227,1,256,0.001,4
0.6800711030370633,ENZYMES,xUP8E,0.5333333333333333,0,0,0.5469962471320905,1,256,0.001,4
0.6878323086973595,ENZYMES,ysqju,0.55,0,0,0.5624414358483606,1,256,0.001,4
0.8936119965152953,ENZYMES,BSRdQ,0.4,0,0,0.5553435443581585,1,256,0.001,4
