pooling_ratio,batch_size,id,lr,reward,weight_decay,num_layers,dataset,K,dropout_ratio
0.1679471205808622,32,kelrl,0.001,0.8482142857142857,0.001,2,PROTEINS,3,0.17088485456650776
0.6325692380876486,64,PvjLi,0.001,0.8214285714285714,1e-05,6,PROTEINS,4,0.5991043226370213
0.39313700450879807,64,BqJ2s,0.001,0.8214285714285714,0.001,6,PROTEINS,4,0.3350740644354396
0.2832072806759346,64,KmcOS,0.001,0.8125,0.001,2,PROTEINS,4,0.17659273555711955
0.5437957203882624,32,LIsRb,0.001,0.8125,0,5,PROTEINS,2,0.7659370514520201
0.3355620906359336,128,XjMCJ,0.001,0.8482142857142857,0.001,6,PROTEINS,3,0.27182533638163525
0.44192356741847705,64,i3Obq,0.001,0.8303571428571429,1e-05,2,PROTEINS,3,0.15426978076404899
0.8968984467738422,64,Y7phO,0.001,0.7857142857142857,0.0001,6,PROTEINS,2,0.5520688337677218
0.682691542846755,128,KGDQ3,0.001,0.8303571428571429,1e-05,3,PROTEINS,4,0.8319807486579082
0.29917957781827315,64,HRRQz,0.001,0.7678571428571429,0,2,PROTEINS,4,0.7008356985438747
0.47542265975285536,256,rENP0,0.001,0.8214285714285714,0.0001,5,PROTEINS,3,0.1617246883863123
0.37487316972183404,256,zNg3c,0.001,0.7589285714285714,0.001,6,PROTEINS,2,0.18989411508428003
0.7894062211178231,256,Vr18r,0.001,0.8303571428571429,0,5,PROTEINS,4,0.1515535071794423
0.6866672459925127,32,om7j1,0.001,0.8392857142857143,1e-05,2,PROTEINS,4,0.28337373233542623
0.32424096530790425,32,zpcYr,0.001,0.7678571428571429,1e-05,6,PROTEINS,2,0.323690242950494
0.30146682578799755,256,qO6Ch,0.001,0.8035714285714286,0.0001,6,PROTEINS,4,0.347700324923867
0.8446225403973614,32,mgA6z,0.001,0.8125,1e-05,2,PROTEINS,2,0.3611868311935079
0.5234941212601196,32,utJdU,0.001,0.8125,0.0001,2,PROTEINS,2,0.22797551803649832
0.8382976380852117,256,kieyQ,0.001,0.7946428571428571,0.001,3,PROTEINS,2,0.3051129914543455
0.5977540678623815,64,HsziQ,0.001,0.8392857142857143,0.0001,5,PROTEINS,4,0.16235497788469888
