batch_size,dropout_ratio,num_layers,dataset,edge_ratio,id,lr,pooling_ratio,weight_decay,reward,K
256,0,2,PROTEINS,0.8308718219255576,cyc7q,0.001,0.5110396628915003,0,0.7678571428571429,2
256,0,4,PROTEINS,0.926485894626147,N9G1h,0.001,0.585402798105314,0,0.8482142857142857,3
256,0,3,PROTEINS,0.7370620925929419,TzuLl,0.001,0.8064086247440144,0,0.8482142857142857,1
256,0,5,PROTEINS,0.5289168405865281,YknCG,0.001,0.6870863902047558,0,0.8214285714285714,4
256,0,6,PROTEINS,0.7219716378601113,ktJUb,0.001,0.5643332392813,0,0.7946428571428571,3
256,0,4,PROTEINS,0.9099026181080553,gQVaM,0.001,0.5139911583756476,0,0.8392857142857143,4
256,0,4,PROTEINS,0.5503869753608983,ChzEe,0.001,0.4980608936816643,0,0.8482142857142857,2
256,0,6,PROTEINS,0.8168310277088272,bdaEs,0.001,0.7686433115670009,0,0.8125,2
256,0,4,PROTEINS,0.6826775416036801,DEHCa,0.001,0.1328750579793807,0,0.8660714285714286,3
256,0,4,PROTEINS,0.5862354710548348,CmWu1,0.001,0.6289023122490528,0,0.8303571428571429,4
256,0,3,PROTEINS,0.8721191791072596,W2muM,0.001,0.32603544040530236,0,0.8125,2
256,0,6,PROTEINS,0.8443003799717759,t9gNh,0.001,0.5262822774933642,0,0.8392857142857143,2
256,0,2,PROTEINS,0.5378136197459391,UlrcB,0.001,0.8536421678612952,0,0.8035714285714286,3
256,0,5,PROTEINS,0.7183354986156221,lagwE,0.001,0.7748334175904471,0,0.8035714285714286,2
256,0,5,PROTEINS,0.6117567560048002,WzHHK,0.001,0.7443472624051651,0,0.8392857142857143,2
256,0,6,PROTEINS,0.9487301615439967,OENpc,0.001,0.4342809227744282,0,0.8125,1
256,0,2,PROTEINS,0.7018240334959965,YKR9W,0.001,0.13033796177190188,0,0.8125,2
256,0,5,PROTEINS,0.9984315561737573,wjVjl,0.001,0.4259315408313079,0,0.8392857142857143,4
256,0,5,PROTEINS,0.9146591037162568,uFh5G,0.001,0.7162165445285466,0,0.8035714285714286,2
256,0,5,PROTEINS,0.6342681660670968,mW5z1,0.001,0.4619777725611164,0,0.7857142857142857,3
256,0,6,PROTEINS,0.7208514387642362,GJ8rx,0.001,0.7368114563879504,0,0.7410714285714286,4
256,0,2,PROTEINS,0.5064205479086985,B9LWh,0.001,0.17890267673055657,0,0.875,3
256,0,4,PROTEINS,0.9428378115870164,QZK52,0.001,0.39151167309512414,0,0.8214285714285714,3
256,0,6,PROTEINS,0.6705330934920986,HF4qA,0.001,0.393248416744026,0,0.8303571428571429,2
256,0,4,PROTEINS,0.534040469370141,BBoj7,0.001,0.19907391599312085,0,0.8392857142857143,3
256,0,5,PROTEINS,0.8103170224179606,eqiOF,0.001,0.18372336774033482,0,0.8392857142857143,2
256,0,6,PROTEINS,0.569381596177507,eEbAW,0.001,0.29722440935830835,0,0.8303571428571429,3
256,0,5,PROTEINS,0.6884930282640389,VbJTE,0.001,0.1287038970682998,0,0.8571428571428571,3
256,0,6,PROTEINS,0.9030084722342115,b7Hef,0.001,0.1976870945374521,0,0.7589285714285714,1
256,0,2,PROTEINS,0.5187671870415251,wZwql,0.001,0.6347134079731092,0,0.7678571428571429,1
256,0,4,PROTEINS,0.8968142229021379,qHmA3,0.001,0.3072291487857822,0,0.6875,1
256,0,4,PROTEINS,0.745481410671214,oAX3m,0.001,0.16098833422190434,0,0.8571428571428571,3
256,0,6,PROTEINS,0.8330623823057298,xxPr6,0.001,0.14157691520320964,0,0.7857142857142857,1
256,0,4,PROTEINS,0.9713366074001029,cxIRK,0.001,0.1302962743749638,0,0.7946428571428571,1
256,0,4,PROTEINS,0.9760552812524086,H09er,0.001,0.8629780213175624,0,0.8482142857142857,2
256,0,3,PROTEINS,0.5483132527992487,hPUD0,0.001,0.21346368233707286,0,0.7410714285714286,1
256,0,6,PROTEINS,0.6954400609661145,pVmOT,0.001,0.5077072585165201,0,0.8035714285714286,2
