dataset,batch_size,num_layers,id,K,pooling_ratio,weight_decay,dropout_ratio,lr,edge_ratio,reward
ENZYMES,256,4,Ipkgr,1,0.799915408,0,0,0.001,0.7594407840422983,0.6666666666666666
ENZYMES,256,4,W4Nyp,1,0.799915408,0,0,0.001,0.44310493712408167,0.6666666666666666
ENZYMES,256,4,U9m9d,1,0.799915408,0,0,0.001,0.8994978210043658,0.6166666666666667
ENZYMES,256,4,UDqDe,1,0.799915408,0,0,0.001,0.9054223302502392,0.6
ENZYMES,256,4,zdXgg,1,0.799915408,0,0,0.001,0.4502278615572623,0.65
ENZYMES,256,4,aQ6Uf,1,0.799915408,0,0,0.001,0.3455933233469317,0.65
ENZYMES,256,4,GpPQn,1,0.799915408,0,0,0.001,0.7860726311226929,0.5833333333333334
ENZYMES,256,4,WPCda,1,0.799915408,0,0,0.001,0.33056850053283504,0.5833333333333334
ENZYMES,256,4,jULf1,1,0.799915408,0,0,0.001,0.7841107568810586,0.6166666666666667
ENZYMES,256,4,NmqFQ,1,0.799915408,0,0,0.001,0.7834237368655446,0.7166666666666667
ENZYMES,256,4,xInIA,1,0.799915408,0,0,0.001,0.7999308752956653,0.6333333333333333
