pooling_ratio,lr,reward,weight_decay,num_layers,edge_ratio,dataset,dropout_ratio,id,batch_size,K
0.881023822,0.001,0.696551724137931,0,3,0.865088422131973,FRANKENSTEIN,0,Ldreq,256,4
0.881023822,0.001,0.6896551724137931,0,3,0.5288519568881059,FRANKENSTEIN,0,WnIil,256,4
0.881023822,0.001,0.6942528735632184,0,3,0.9597750936033781,FRANKENSTEIN,0,etDJd,256,4
0.881023822,0.001,0.6919540229885057,0,3,0.9881492021183943,FRANKENSTEIN,0,t7EzZ,256,4
0.881023822,0.001,0.6919540229885057,0,3,0.6969402566035203,FRANKENSTEIN,0,lSZX7,256,4
0.881023822,0.001,0.6850574712643678,0,3,0.33143489410064975,FRANKENSTEIN,0,NJ2tH,256,4
0.881023822,0.001,0.6896551724137931,0,3,0.2240690413579941,FRANKENSTEIN,0,Vbk9z,256,4
0.881023822,0.001,0.6919540229885057,0,3,0.7829817614811312,FRANKENSTEIN,0,DJDSV,256,4
0.881023822,0.001,0.6919540229885057,0,3,0.4494681137316586,FRANKENSTEIN,0,qai7e,256,4
0.881023822,0.001,0.6873563218390805,0,3,0.9754479327572635,FRANKENSTEIN,0,xUzHJ,256,4
0.881023822,0.001,0.6942528735632184,0,3,0.6589560944255549,FRANKENSTEIN,0,Ax5Rg,256,4
0.881023822,0.001,0.6942528735632184,0,3,0.7247237648171123,FRANKENSTEIN,0,EVlWm,256,4
0.881023822,0.001,0.6919540229885057,0,3,0.41399852973661055,FRANKENSTEIN,0,Hzr27,256,4
0.881023822,0.001,0.6896551724137931,0,3,0.11299822945426231,FRANKENSTEIN,0,AS0Iy,256,4
0.881023822,0.001,0.6919540229885057,0,3,0.7035182543518446,FRANKENSTEIN,0,pproG,256,4
0.881023822,0.001,0.696551724137931,0,3,0.12762944279486532,FRANKENSTEIN,0,dNEvB,256,4
0.881023822,0.001,0.696551724137931,0,3,0.28981462282729376,FRANKENSTEIN,0,w3aM8,256,4
0.881023822,0.001,0.6942528735632184,0,3,0.9879773898153782,FRANKENSTEIN,0,mZGrI,256,4
0.881023822,0.001,0.6827586206896552,0,3,0.34748778841979533,FRANKENSTEIN,0,sVftW,256,4
0.881023822,0.001,0.6896551724137931,0,3,0.8652661783433996,FRANKENSTEIN,0,OZxO8,256,4
0.881023822,0.001,0.6873563218390805,0,3,0.6132701804938492,FRANKENSTEIN,0,vP4zd,256,4
0.881023822,0.001,0.6919540229885057,0,3,0.33929698982671164,FRANKENSTEIN,0,aLVGv,256,4
0.881023822,0.001,0.6919540229885057,0,3,0.905797270925884,FRANKENSTEIN,0,jyhsg,256,4
0.881023822,0.001,0.6919540229885057,0,3,0.22591478117837155,FRANKENSTEIN,0,NH5b7,256,4
0.881023822,0.001,0.6919540229885057,0,3,0.4383347925187854,FRANKENSTEIN,0,HVmBo,256,4
0.881023822,0.001,0.6942528735632184,0,3,0.5464509492375191,FRANKENSTEIN,0,YIXaQ,256,4
0.881023822,0.001,0.6873563218390805,0,3,0.7753651205447738,FRANKENSTEIN,0,pYQj2,256,4
0.881023822,0.001,0.6896551724137931,0,3,0.18190456814974387,FRANKENSTEIN,0,X5hao,256,4
0.881023822,0.001,0.6896551724137931,0,3,0.8657490270815748,FRANKENSTEIN,0,C4tFd,256,4
0.881023822,0.001,0.6919540229885057,0,3,0.583826509982597,FRANKENSTEIN,0,uiTK3,256,4
0.881023822,0.001,0.6919540229885057,0,3,0.13642804115710647,FRANKENSTEIN,0,lPLg2,256,4
0.881023822,0.001,0.6896551724137931,0,3,0.4564836449737335,FRANKENSTEIN,0,pEaZv,256,4
0.881023822,0.001,0.6988505747126437,0,3,0.5349305485004464,FRANKENSTEIN,0,CoXkI,256,4
0.881023822,0.001,0.632183908045977,0,3,0.16839293206242484,FRANKENSTEIN,0,iJu0Z,256,4
0.881023822,0.001,0.6942528735632184,0,3,0.5329767991292063,FRANKENSTEIN,0,VzK0W,256,4
0.881023822,0.001,0.6896551724137931,0,3,0.712017715751255,FRANKENSTEIN,0,lOrQv,256,4
0.881023822,0.001,0.696551724137931,0,3,0.37667498807813704,FRANKENSTEIN,0,GeO0w,256,4
0.881023822,0.001,0.6896551724137931,0,3,0.9631297777925845,FRANKENSTEIN,0,CsE5i,256,4
0.881023822,0.001,0.6896551724137931,0,3,0.7350115252396822,FRANKENSTEIN,0,pcTH3,256,4
0.881023822,0.001,0.6896551724137931,0,3,0.23850969080012235,FRANKENSTEIN,0,Z4JYW,256,4
0.881023822,0.001,0.6942528735632184,0,3,0.24903202514841483,FRANKENSTEIN,0,Hz7SP,256,4
0.881023822,0.001,0.6942528735632184,0,3,0.19706834648003002,FRANKENSTEIN,0,uJmuw,256,4
0.881023822,0.001,0.6919540229885057,0,3,0.1453381162588964,FRANKENSTEIN,0,f29Pk,256,4
0.881023822,0.001,0.6942528735632184,0,3,0.20736709645630508,FRANKENSTEIN,0,vVqQl,256,4
0.881023822,0.001,0.696551724137931,0,3,0.20938529949298246,FRANKENSTEIN,0,Jodw1,256,4
0.881023822,0.001,0.6896551724137931,0,3,0.20552821912492247,FRANKENSTEIN,0,piIMX,256,4
0.881023822,0.001,0.6919540229885057,0,3,0.2299903223860417,FRANKENSTEIN,0,Qvxcx,256,4
0.881023822,0.001,0.6896551724137931,0,3,0.28913277566388607,FRANKENSTEIN,0,zYNeJ,256,4
0.881023822,0.001,0.6919540229885057,0,3,0.2911182113630471,FRANKENSTEIN,0,q1Yug,256,4
0.881023822,0.001,0.6873563218390805,0,3,0.29671579578337,FRANKENSTEIN,0,mlONQ,256,4
0.881023822,0.001,0.6873563218390805,0,3,0.2911767935690776,FRANKENSTEIN,0,n0rDY,256,4
0.881023822,0.001,0.6896551724137931,0,3,0.26100506041411276,FRANKENSTEIN,0,GpMEE,256,4
0.881023822,0.001,0.6919540229885057,0,3,0.2560406783881426,FRANKENSTEIN,0,R0unO,256,4
0.881023822,0.001,0.6873563218390805,0,3,0.48551788844670035,FRANKENSTEIN,0,Eiw8D,256,4
0.881023822,0.001,0.6896551724137931,0,3,0.4803323140567811,FRANKENSTEIN,0,Abgrs,256,4
