weight_decay,edge_ratio,dropout_ratio,id,K,batch_size,pooling_ratio,dataset,num_layers,reward,lr
0,0.5479163009661551,0,ITEMD,3,256,0.271521829,PROTEINS,5,0.8660714285714286,0.001
0,0.8621852159730671,0,aawZN,3,256,0.271521829,PROTEINS,5,0.8839285714285714,0.001
0,0.49507802327220685,0,lt6XH,3,256,0.271521829,PROTEINS,5,0.9107142857142857,0.001
0,0.7294567686164418,0,MnNV7,3,256,0.271521829,PROTEINS,5,0.8839285714285714,0.001
0,0.9425522709076943,0,s86IR,3,256,0.271521829,PROTEINS,5,0.8571428571428571,0.001
0,0.6222486585495636,0,EKfFC,3,256,0.271521829,PROTEINS,5,0.8928571428571429,0.001
0,0.17429417615334453,0,uZEyc,3,256,0.271521829,PROTEINS,5,0.8660714285714286,0.001
0,0.9977402707853157,0,tyFVB,3,256,0.271521829,PROTEINS,5,0.9107142857142857,0.001
0,0.43092484782889606,0,UqNYi,3,256,0.271521829,PROTEINS,5,0.8660714285714286,0.001
0,0.3076595516113851,0,dr7DR,3,256,0.271521829,PROTEINS,5,0.9107142857142857,0.001
0,0.11090221055416288,0,A7adk,3,256,0.271521829,PROTEINS,5,0.875,0.001
0,0.9672593818986633,0,mJxmJ,3,256,0.271521829,PROTEINS,5,0.8839285714285714,0.001
0,0.5394464131554131,0,MmWDZ,3,256,0.271521829,PROTEINS,5,0.8928571428571429,0.001
0,0.8574512719816708,0,sqcmJ,3,256,0.271521829,PROTEINS,5,0.8928571428571429,0.001
0,0.28631929370384285,0,MoupW,3,256,0.271521829,PROTEINS,5,0.9017857142857143,0.001
0,0.2581957147917062,0,h3yWX,3,256,0.271521829,PROTEINS,5,0.875,0.001
0,0.253089560048257,0,bVMjb,3,256,0.271521829,PROTEINS,5,0.8660714285714286,0.001
0,0.6243380427667254,0,Cts7K,3,256,0.271521829,PROTEINS,5,0.9107142857142857,0.001
0,0.4970333603645003,0,IQom1,3,256,0.271521829,PROTEINS,5,0.9107142857142857,0.001
0,0.6744294669060065,0,WCZGr,3,256,0.271521829,PROTEINS,5,0.9017857142857143,0.001
0,0.800692454284181,0,PGsHt,3,256,0.271521829,PROTEINS,5,0.8660714285714286,0.001
0,0.49489108980670726,0,j8ccp,3,256,0.271521829,PROTEINS,5,0.8839285714285714,0.001
0,0.25337152644805044,0,gYGsk,3,256,0.271521829,PROTEINS,5,0.8928571428571429,0.001
0,0.7400489157472028,0,soH5J,3,256,0.271521829,PROTEINS,5,0.8839285714285714,0.001
0,0.2948333931645354,0,ixzWy,3,256,0.271521829,PROTEINS,5,0.9107142857142857,0.001
0,0.9172070324122842,0,Mfhxr,3,256,0.271521829,PROTEINS,5,0.875,0.001
0,0.11390640364691007,0,rVI6a,3,256,0.271521829,PROTEINS,5,0.9107142857142857,0.001
0,0.9461458045842547,0,c08S3,3,256,0.271521829,PROTEINS,5,0.9107142857142857,0.001
0,0.3271161259839347,0,v0QK0,3,256,0.271521829,PROTEINS,5,0.8928571428571429,0.001
0,0.7399459979707848,0,okhfZ,3,256,0.271521829,PROTEINS,5,0.875,0.001
0,0.9558254783886898,0,AGDri,3,256,0.271521829,PROTEINS,5,0.9107142857142857,0.001
0,0.6380812391793252,0,mQ0t0,3,256,0.271521829,PROTEINS,5,0.8839285714285714,0.001
0,0.8009227704622724,0,x0zO9,3,256,0.271521829,PROTEINS,5,0.9107142857142857,0.001
0,0.40361997532840266,0,lvMWx,3,256,0.271521829,PROTEINS,5,0.8482142857142857,0.001
0,0.10361540758887236,0,fUoRt,3,256,0.271521829,PROTEINS,5,0.8660714285714286,0.001
0,0.1951115853614565,0,gbuKN,3,256,0.271521829,PROTEINS,5,0.8839285714285714,0.001
0,0.4123873051544793,0,oBl2b,3,256,0.271521829,PROTEINS,5,0.875,0.001
0,0.38414710794332374,0,DB3bI,3,256,0.271521829,PROTEINS,5,0.8839285714285714,0.001
0,0.3715625690965516,0,crMvK,3,256,0.271521829,PROTEINS,5,0.8660714285714286,0.001
0,0.41936139351157853,0,bThAF,3,256,0.271521829,PROTEINS,5,0.8660714285714286,0.001
0,0.3928709157403452,0,LhUfL,3,256,0.271521829,PROTEINS,5,0.8660714285714286,0.001
0,0.42077529195125696,0,gY9wc,3,256,0.271521829,PROTEINS,5,0.8839285714285714,0.001
0,0.3968176259259456,0,fwnx8,3,256,0.271521829,PROTEINS,5,0.8660714285714286,0.001
0,0.4779603354182116,0,pRbKs,3,256,0.271521829,PROTEINS,5,0.8839285714285714,0.001
0,0.37293108762656424,0,UTBqG,3,256,0.271521829,PROTEINS,5,0.9107142857142857,0.001
0,0.3602954138149266,0,EbrOg,3,256,0.271521829,PROTEINS,5,0.8482142857142857,0.001
0,0.1392519222855338,0,RBdaN,3,256,0.271521829,PROTEINS,5,0.9107142857142857,0.001
0,0.1541879004607073,0,WwV8z,3,256,0.271521829,PROTEINS,5,0.875,0.001
0,0.10250979655298907,0,bOtRH,3,256,0.271521829,PROTEINS,5,0.9107142857142857,0.001
0,0.1590797014948616,0,kOi4b,3,256,0.271521829,PROTEINS,5,0.9107142857142857,0.001
